season,round,grand_prix,driver_number,driver,team,stint,compound,stint_len_laps,mean_lap_s,median_lap_s,p90_lap_s,start_lap,end_lap,degradation_s_per_lap
2024,3,Australian Grand Prix,11,PER,Red Bull Racing,2.0,HARD,18,82.29566666666668,82.13900000000001,83.31,16.0,34.0,-0.028521229544449144
2024,3,Australian Grand Prix,11,PER,Red Bull Racing,3.0,HARD,20,81.08435,81.0415,81.6174,37.0,56.0,0.02054060150375841
2024,3,Australian Grand Prix,14,ALO,Aston Martin,1.0,HARD,15,83.19153333333334,83.187,83.6272,2.0,16.0,-0.03202499999999869
2024,3,Australian Grand Prix,14,ALO,Aston Martin,2.0,MEDIUM,21,82.62271428571428,82.704,82.928,19.0,40.0,0.0007090909090930211
2024,3,Australian Grand Prix,14,ALO,Aston Martin,3.0,HARD,14,81.09578571428571,81.07849999999999,81.43599999999999,43.0,56.0,-0.06521098901098413
2024,3,Australian Grand Prix,16,LEC,Ferrari,1.0,MEDIUM,7,82.75442857142856,82.684,82.9954,2.0,8.0,-0.004392857142852782
2024,3,Australian Grand Prix,16,LEC,Ferrari,2.0,HARD,21,82.01590476190476,81.952,82.284,11.0,33.0,-0.00401403249630576
2024,3,Australian Grand Prix,16,LEC,Ferrari,3.0,HARD,22,80.58809090909091,80.6175,80.9526,36.0,57.0,-0.04127837380011087
2024,3,Australian Grand Prix,18,STR,Aston Martin,1.0,MEDIUM,6,83.264,83.26650000000001,83.5025,2.0,7.0,-0.09382857142857269
2024,3,Australian Grand Prix,18,STR,Aston Martin,2.0,HARD,25,83.15492,83.114,83.4292,10.0,36.0,0.0026434205169978305
2024,3,Australian Grand Prix,18,STR,Aston Martin,3.0,HARD,18,81.44661111111111,81.2525,82.0594,39.0,56.0,-0.06628173374613455
2024,3,Australian Grand Prix,20,MAG,Haas F1 Team,1.0,MEDIUM,5,83.8514,83.954,84.1332,2.0,6.0,-0.019200000000009897
2024,3,Australian Grand Prix,20,MAG,Haas F1 Team,2.0,HARD,23,83.3473043478261,83.396,83.66680000000001,9.0,32.0,0.004630103991434374
2024,3,Australian Grand Prix,20,MAG,Haas F1 Team,3.0,HARD,22,82.1875909090909,81.80799999999999,83.19709999999999,35.0,56.0,0.05184472049689688
2024,3,Australian Grand Prix,22,TSU,RB,1.0,MEDIUM,7,83.34914285714285,83.381,83.5898,2.0,8.0,-0.06946428571428571
2024,3,Australian Grand Prix,22,TSU,RB,2.0,HARD,24,83.19979166666667,83.1505,83.3876,11.0,35.0,0.010739207920792186
2024,3,Australian Grand Prix,22,TSU,RB,3.0,HARD,19,81.71094736842106,81.696,81.9918,38.0,56.0,-0.03830877192982917
2024,3,Australian Grand Prix,23,ALB,Williams,1.0,MEDIUM,4,83.874,83.761,84.35,2.0,5.0,-0.20280000000000262
2024,3,Australian Grand Prix,23,ALB,Williams,2.0,HARD,18,83.31311111111111,83.226,83.7596,8.0,26.0,-0.0031508771929822516
2024,3,Australian Grand Prix,23,ALB,Williams,3.0,HARD,28,82.61775,82.35900000000001,83.7411,29.0,56.0,-0.015691023535851983
2024,3,Australian Grand Prix,24,ZHO,Kick Sauber,1.0,SOFT,4,84.1,84.05449999999999,84.31360000000001,2.0,5.0,-0.061800000000001104
2024,3,Australian Grand Prix,24,ZHO,Kick Sauber,2.0,HARD,26,83.33819230769231,83.255,83.642,8.0,34.0,-0.03302780149919257
2024,3,Australian Grand Prix,24,ZHO,Kick Sauber,3.0,HARD,19,82.23115789473684,82.06,83.27340000000001,37.0,55.0,-0.044943859649127185
2024,3,Australian Grand Prix,27,HUL,Haas F1 Team,1.0,HARD,15,84.1122,83.953,84.7772,2.0,16.0,0.014828571428572142
2024,3,Australian Grand Prix,27,HUL,Haas F1 Team,2.0,MEDIUM,16,82.8869375,82.94200000000001,83.3615,19.0,34.0,0.06300441176470314
2024,3,Australian Grand Prix,27,HUL,Haas F1 Team,3.0,HARD,20,81.91005,81.83850000000001,82.3163,37.0,56.0,0.005378195488719851
2024,3,Australian Grand Prix,3,RIC,RB,1.0,SOFT,3,84.25366666666666,84.095,84.6798,2.0,4.0,-0.36550000000000454
